Organization Name,Organization Name URL,Industry Groups,Number of Employees,Industries,Headquarters Location,Description,CB Rank (Organization),Stage,CB Rank (Company),Website,Contact Email,LinkedIn,Phone Number,Last Funding Date,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD)
Synchrony Medical,https://www.crunchbase.com/organization/synchrony-medical,Health Care,1-10,"Health Care, Medical, Medical Device","Or Yehuda, Tel Aviv, Israel","Synchrony Medical is a clinical stage medical device company developing a next generation, home-use, airway clearance system","11,414",,"9,920",https://synchrony-medical.com/,info@synchrony-medical.com,https://www.linkedin.com/company/synchronymedical/,,2026-02-18,Venture - Series Unknown,5000000,USD,5000000
BrightHeart,https://www.crunchbase.com/organization/brightheart-85ba,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Medical, Medical Device","Paris, Ile-de-France, France",BrightHeart is a medical technology startup that is developing artificial intelligence software.,"11,422",,"9,928",https://www.brightheart.fr,contact@brightheart.fr,https://www.linkedin.com/company/brightheart,,2026-01-08,Series A,11000000,EUR,12841151
Exciva,https://www.crunchbase.com/organization/exciva,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Pharmaceutical","Heidelberg, Baden-Wurttemberg, Germany",Exciva develops clinical-stage biopharmaceutical therapies focused on addressing neuropsychiatric symptoms associated with dementia.,"11,466",,"9,969",http://www.exciva.com,,https://www.linkedin.com/company/exciva,,2026-01-20,Series B,51000000,EUR,59408086
Surf Therapeutics,https://www.crunchbase.com/organization/surf-therapeutics,Health Care,1-10,"Health Care, Medical","Austin, Texas, United States",Surf Therapeutics is a clinical-stage firm leading the development of non-invasive ultrasound neuromodulation technology.,"11,477",,"9,979",https://www.surftherapeutics.com/,,https://www.linkedin.com/company/surf-therapeutics/,,2026-03-17,Seed,6000000,USD,6000000
Neurovalens,https://www.crunchbase.com/organization/neurovalens,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Life Science, Neuroscience","Belfast, Belfast, United Kingdom","Neurovalens delivers innovative solutions in the field of neuroscience, bioscience and neurophysiology","11,483",,"9,984",http://neurovalens.com/,,https://www.linkedin.com/company/neurovalens,,2025-08-19,Venture - Series Unknown,5000000,GBP,6742461
Hope Medicine,https://www.crunchbase.com/organization/hope-medicine,Health Care,1-10,"Health Care, Medical","Nanjing, Jiangsu, China",Hope Medicine is a science-driven clinical stage biopharmaceutical company,"11,568",,"10,059",http://hopemedinc.com/,,,,2024-09-27,Series B,18490000,USD,18490000
Tonic Health,https://www.crunchbase.com/organization/tonic-nutrition,"Commerce and Shopping, Food and Beverage, Health Care",1-10,"E-Commerce, Food and Beverage, Health Care, Nutrition, Retail, Wellness","London, England, United Kingdom",Tonic Health is a natural product designed to support the immune system.,"11,605",,"10,091",https://www.tonichealth.co/,hello@tonichealth.co,https://www.linkedin.com/company/tonichealthco/about/,+44 7862136508,2025-07-01,Series A,3000000,GBP,4123751
Pulse,https://www.crunchbase.com/organization/pulse-c26d,"Health Care, Manufacturing",1-10,"Manufacturing, Medical","Bangalore, Karnataka, India",Pulse focuses on low and mid-complexity medical equipment and consumables categories.,"11,652",,"10,134",https://pulseio.in/,info@pulseio.in,https://www.linkedin.com/company/pulseiomed/,+91 9899554722,2026-02-25,Seed,4000000,USD,4000000
betterhood,https://www.crunchbase.com/organization/betterhood,Health Care,1-10,"Health Care, Personal Health","Bengaluru, Karnataka, India","betterhood is an Indian wellness brand providing products for pain relief, posture support, and active living.","11,720",,"10,196",https://betterhood.in/,care@betterhood.in,https://www.linkedin.com/company/betterhood-in,08484805885,2026-03-16,Seed,50000000,INR,540743
Spotlight Pathology,https://www.crunchbase.com/organization/spotlight-pathology,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Medical","Manchester, Manchester, United Kingdom",Spotlight Pathology develops decision support tools powered by artificial intelligence (AI) to help in the diagnosis of blood cancers.,"11,743",,"10,217",https://www.spotlightpathology.com,,https://www.linkedin.com/company/spotlight-pathology,,2026-03-11,Seed,1400000,GBP,1875871
SoHookd,https://www.crunchbase.com/organization/sohookd,"Commerce and Shopping, Health Care, Sports",1-10,"E-Commerce, Fitness, Health Care, Sports","Washington, District of Columbia, United States",SoHookd is a health-oriented curated marketplace offering wellness experiences and products.,"11,754",,"10,228",http://www.sohookd.com,hello@sohookd.com,https://www.linkedin.com/company/sohookd,917-562-1534,2022-12-14,Seed,1600000,USD,1600000
Injewelme,https://www.crunchbase.com/organization/injewelme,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Wellness","Seoul, Seoul-t'ukpyolsi, South Korea",Injewelme is an artificial intelligence health management platform.,"11,825",,"10,293",https://www.injewelme.com,help@injewelme.com,https://www.linkedin.com/company/injewelme,,2026-04-08,Venture - Series Unknown,1200000,USD,1200000
Hoth Therapeutics,https://www.crunchbase.com/organization/hoth-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Hospital, Medical","New York, New York, United States",Hoth Therapeutics is a clinical-stage biopharmaceutical company focusing on developing new therapies for dermatological disorders.,"11,845",,"10,313",https://www.hoththerapeutics.com,,https://www.linkedin.com/company/hoth-therapeutics-inc,,2026-04-01,Post-IPO Equity,2000000,USD,2000000
Vella Bioscience,https://www.crunchbase.com/organization/vella-bioscience,Health Care,1-10,"Health Care, Wellness","Worcester, Massachusetts, United States",Vella Bioscience is a health-tech company dedicated to sexually empowering every woman.,"11,851",,"10,319",https://vellabio.com/,,https://www.linkedin.com/company/vella-bioscience-inc/,,2025-03-25,Non-equity Assistance,,,
Proper,https://www.crunchbase.com/organization/proper-c2b9,"Food and Beverage, Health Care",1-10,"Dietary Supplements, Health Care, Personal Health, Wellness","New York, New York, United States",Proper offers natural sleep supplements and sleep coaching to help consumers improve their long-term sleep health.,"11,896",,"10,362",https://www.getproper.com,nancy@getproper.com,https://www.linkedin.com/company/properlabs,,2020-07-24,Venture - Series Unknown,9500000,USD,9500000
Vdyne,https://www.crunchbase.com/organization/vdyne,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Pharmaceutical","Maple Grove, Minnesota, United States",Vdyne is a medical device company developing several devices including a tricuspid replacement valve and repair technology.,"11,910",,"10,376",https://www.vdyne.com/,,,(763) 777-5969,2020-12-18,Series C,8000001,USD,8000001
Clear,https://www.crunchbase.com/organization/clear-5ef7,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software, Sports",1-10,"Artificial Intelligence (AI), Fitness, Personal Health, Wellness","Amsterdam, Noord-Holland, The Netherlands",Clear measures blood glucose levels in real-time using an implanted arm patch and an app.,"11,982",,"10,438",https://www.clear.bio,info@theclearhealthprogram.com,https://nl.linkedin.com/company/programclear,+31 6 27920093,2025-09-29,Venture - Series Unknown,1700000,EUR,1994210
Surf Bio,https://www.crunchbase.com/organization/surf-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Oncology, Pharmaceutical, Therapeutics","Palo Alto, California, United States","Surf Bio develops therapeutic solutions for diabetes, oncology, infectious diseases, and gene therapy.","12,047",,"10,495",https://www.surf.bio/,,https://www.linkedin.com/company/surf-bio/,,2024-04-30,Grant,1600000,USD,1600000
Century Health,https://www.crunchbase.com/organization/century-health,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Data Management, Health Care, Life Science","New York, New York, United States",Century Health accelerates drug development and commercialization by applying AI to real-world clinical data.,"12,098",,"10,541",https://century.health,contact@century.health,https://www.linkedin.com/company/centuryhealth,,2024-03-27,Pre-Seed,2000000,USD,2000000
Arbital Health,https://www.crunchbase.com/organization/arbital-health,Health Care,1-10,"Health Care, Medical, Wellness","Santa Rosa, California, United States",Arbital Health provides neutral adjudication services for outcomes-based healthcare contracts.,"12,104",,"10,547",https://www.arbitalhealth.com,info@arbitalhealth.com,https://www.linkedin.com/company/arbital-health,+1 858 229-9357,2025-07-29,Series B,31000000,USD,31000000
Parcel Health,https://www.crunchbase.com/organization/parcel-health,"Health Care, Sustainability, Transportation",1-10,"Health Care, Logistics, Pharmaceutical, Supply Chain Management, Sustainability","Pittsburgh, Pennsylvania, United States","We're on a mission to reduce plastic in healthcare supply chains, starting with prescription pill bottles.","12,176",,"10,611",http://www.parcelhealth.co,team@parcelhealth.co,https://www.linkedin.com/company/parcelhealth/,,2025-09-18,Seed,1335000,USD,1335000
Bloomi,https://www.crunchbase.com/organization/the-bloomi,"Commerce and Shopping, Consumer Goods, Health Care",1-10,"Consumer Goods, E-Commerce, Health Care","Oakland, California, United States",Bloomi is a wellness company that is transforming the intimacy category by bridging accessible products and education.,"12,216",,"10,649",https://thebloomi.com/,info@thebloomi.com,https://www.linkedin.com/company/the-bloomi/,,2022-03-01,Seed,2000000,USD,2000000
Granata Bio,https://www.crunchbase.com/organization/granata-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Fertility, Health Care, Therapeutics","Duxbury, Massachusetts, United States",Granata Bio is a biotechnology company developing therapeutic solutions to address infertility and improve women's reproductive health.,"12,229",,"10,661",https://www.granata.bio,info@granata.bio,https://www.linkedin.com/company/granatabio,,2025-05-13,Corporate Round,,,
BOOST Pharma,https://www.crunchbase.com/organization/boost-pharma,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Medical, Therapeutics","Copenhagen, Hovedstaden, Denmark",BOOST Pharma develops a stem cell therapy for the treatment of osteogenesis imperfecta.,"12,241",,"10,673",https://boostpharma.com/,info@boostpharma.com,https://www.linkedin.com/company/boost-pharma-aps/,,2025-11-03,Venture - Series Unknown,34000000,SEK,3583638
D3 Bio,https://www.crunchbase.com/organization/d3-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Life Science, Pharmaceutical","Wuxi Shi, Jiangsu, China",D3 Bio is a biotechnology company focusing on the development and registration of medicines.,"12,313",,"10,740",https://www.d3bio.com,bd@d3bio.com,https://www.linkedin.com/company/d3bio,,2025-12-09,Series B,108000000,USD,108000000
Viora Health,https://www.crunchbase.com/organization/viora-health,"Apps, Food and Beverage, Health Care, Other, Social Impact, Software",1-10,"Apps, Health Care, Nutrition, Social Impact, Wellness","Philadelphia, Pennsylvania, United States",Viora Health is a tech-enabled human centered program that wraps around the care management to engage patients in their own communities,"12,331",,"10,757",https://viorahealth.com,info@viorahealth.com,https://www.linkedin.com/company/viorahealth,,2023-09-05,Grant,941000,USD,941000
One Health Group,https://www.crunchbase.com/organization/one-health-group,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Medical Device, Wellness","Cazenovia, New York, United States",One Health Group develops a health assessment platform that uses intelligent sensors and artificial intelligence for health information.,"12,352",,"10,777",https://www.onehealthgroup.com/,info@ohgcorp.com,https://www.linkedin.com/company/one-health-group-corp/,3158154483,2024-08-01,Seed,500000,USD,500000
Judo Bio,https://www.crunchbase.com/organization/judo-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Life Science, Medical, Therapeutics","Cambridge, Massachusetts, United States",Judo Bio is a biotechnology company that develops precision therapeutics targeting specific cell populations to address genetic diseases.,"12,385",,"10,805",https://judo.bio,,https://www.linkedin.com/company/judobio,,2024-10-07,Series A,75000000,USD,75000000
Roshi,https://www.crunchbase.com/organization/roshi-solutions-inc,"Community and Lifestyle, Data and Analytics, Food and Beverage, Health Care, Information Technology, Software, Transportation",1-10,"Analytics, Cannabis, Enterprise Software, Information Technology, Logistics, SaaS, Software, Supply Chain Management","Oakland, California, United States",Roshi is a software company that offers purpose-built inventory management solution for cannabis operators.,"12,428",,"10,845",https://www.roshi.me,engage@roshi.me,https://www.linkedin.com/company/roshi-solutions/,415-493-8308,2020-02-05,Seed,2400000,USD,2400000
Ernexa Therapeutics,https://www.crunchbase.com/organization/brooklyn-immunotherapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Cambridge, Massachusetts, United States",Ernexa Therapeutics is a biopharmaceutical firm in the clinical stages that researches and develops innovative cytokine-based therapies.,"12,465",,"10,879",https://www.ernexatx.com/,,,(212)-582-1199,2025-04-03,Post-IPO Equity,7250000,USD,7250000
KinetikIQ,https://www.crunchbase.com/organization/precision-sports-technology,"Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Science and Engineering, Software, Sports",1-10,"Artificial Intelligence (AI), Computer Vision, Fitness, Machine Learning, Software, Sports, Wellness","Galway, Galway, Ireland","KinetikIQ specializes in advanced motion capture tech for athletic performance and health, previously known as Precision Sports Technology","12,550",,"10,960",https://www.kinetikiq.com/,hello@kinetikiq.com,https://www.linkedin.com/company/77766112,,2025-11-04,Seed,,,
Cake,https://www.crunchbase.com/organization/my-exit-strategy,"Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Internet Services, Media and Entertainment, Science and Engineering, Software",1-10,"Apps, Artificial Intelligence (AI), Health Care, Information Technology, Internet, Social Media","Cambridge, Massachusetts, United States",Cake offers a library of resources and interactive tools that use AI and data science to help consumers.,"12,556",,"10,966",https://www.joincake.com/,support@joincake.com,https://www.linkedin.com/company/joincake,,2024-07-11,Seed,125000,USD,125000
RubyWell,https://www.crunchbase.com/organization/rubywell,"Financial Services, Health Care",1-10,"Financial Services, FinTech, Health Care","New York, New York, United States",RubyWell is an intelligent and automated guide that helps family caregivers regain financial stability.,"12,562",,"10,972",https://www.rubywell.com/,,https://www.linkedin.com/company/rubywell/,+1 646-978-559,2025-11-01,Seed,,,
ImmunoVec,https://www.crunchbase.com/organization/immunovec,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Genetics, Health Care, Medical","Santa Monica, California, United States",ImmunoVec develops gene therapy treatments to cure terminal genetic diseases of the immune system.,"12,566",,"10,976",https://www.immunovec.com/,,,,2025-09-22,Grant,40700000,USD,40700000
Conexeu Sciences Inc.,https://www.crunchbase.com/organization/conexeu,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Life Science","Reno, Nevada, United States","Medical Aesthetics, Longevity, Anti-Aging, Regenerative Medicine, Wound Care, Human Collagen","12,580",,"10,989",https://www.conexeu.com,davidbogart@conexeu.com,https://www.linkedin.com/company/conexeu-sciences-inc,702-513-8856,2025-11-12,Venture - Series Unknown,5748745,USD,5748745
Almond,https://www.crunchbase.com/organization/almond-b588,"Community and Lifestyle, Health Care",1-10,"Health Care, Medical, Personal Health, Telehealth, Women's","Los Angeles, California, United States",Almond is a mobile platform that provides telehealth and in-person services for women's obstetrics and gynecology care.,"12,620",,"11,025",https://almondobgyn.com,hello@almondobgyn.com,https://www.linkedin.com/company/almond-obgyn,+1 424-237-8406,2022-11-22,Seed,7000000,USD,7000000
Ena Respiratory,https://www.crunchbase.com/organization/innavac,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Diagnostics, Medical","Melbourne, Victoria, Australia",Ena Respiratory researches and develops solutions to transform the treatment and prevention of respiratory infections.,"12,622",,"11,027",https://enarespiratory.com/,info@innavac.com,https://www.linkedin.com/company/6578468/,,2025-10-22,Series B,22400000,USD,22400000
Inflow,https://www.crunchbase.com/organization/inflow-605b,"Health Care, Mobile",1-10,"Health Care, mHealth, Wellness","London, England, United Kingdom",Inflow develops a science-based digital program intended to manage ADHD.,"12,634",,"11,039",https://www.getinflow.io,hello@getinflow.io,https://www.linkedin.com/company/getinflow/about,,2023-01-11,Series A,11000000,USD,11000000
Lanyard Health,https://www.crunchbase.com/organization/lanyard-health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Medical, Mental Health, Software","Houston, Texas, United States","Lanyard Health is a provider data, provider enrollment and credentialing platform.","12,715",,"11,112",https://www.lanyardhealth.com,operations@lanyardhealth.com,https://www.linkedin.com/company/lanyardhealth/,3024404147,2025-06-17,Pre-Seed,150000,USD,150000
Emagine Solutions Technology,https://www.crunchbase.com/organization/emagine-solutions-technology,"Health Care, Mobile, Software",1-10,"Health Care, Medical, Mobile, Software","Tucson, Arizona, United States",Tackling the U.S. maternal health crisis with remote patient monitoring for pregnancy care to improve outcomes.,"12,752",,"11,147",http://www.emaginesolutionstech.com,info@emaginesolutionstech.com,https://www.linkedin.com/company/emagine-solutions-technology/,888-345-1115,2026-03-24,Grant,250000,USD,250000
The Beans,https://www.crunchbase.com/organization/the-beans,"Financial Services, Health Care",1-10,"Finance, Financial Services, FinTech, Wealth Management, Wellness","San Francisco, California, United States",The Beans offers a software application platform that creates personalized cash flow plans designed for its users.,"12,784",,"11,177",https://www.thebeans.io/,hello@thebeans.io,https://www.linkedin.com/company/the-beans/,,2025-10-14,Seed,5400000,USD,5400000
Flora,https://www.crunchbase.com/organization/flora-fertility,"Financial Services, Health Care",1-10,"Fertility, Health Care, Insurance","Calgary, Alberta, Canada",Flora is the first to provide individually owned insurance for fertility and women's health.,"12,788",,"11,181",https://www.heyflora.co,christy@heyflora.co,https://www.linkedin.com/company/heyflora,,2026-04-07,Seed,5000000,USD,5000000
Elly,https://www.crunchbase.com/organization/elly-health,"Apps, Health Care, Information Technology, Software",1-10,"Apps, Health Care, Information Technology","Los Angeles, California, United States",Elly is the world's first empathetic audio companion for patients living with a chronic disease.,"12,827",,"11,217",https://www.ellyhealth.com,hello@ellyhealth.com,https://www.linkedin.com/company/ellyhealthinc,+1 747-282-4457,2022-03-25,Venture - Series Unknown,,,
H100 Group,https://www.crunchbase.com/organization/h100-group,"Artificial Intelligence (AI), Health Care, Internet Services",1-10,"Generative AI, Health Care, Internet","Stockholm, Stockholms Lan, Sweden","H100 is a data-driven, scalable model to optimize user health journeys by integrating digital health services.","12,841",,"11,230",https://www.h100.group/,info@h100.group,https://www.linkedin.com/company/h100group/,,2025-07-28,Post-IPO Equity,109000000,SEK,11345084
Kairos Pharma,https://www.crunchbase.com/organization/kairos-pharma,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Pharmaceutical, Therapeutics","Los Angeles, California, United States",Kairos Pharma is a clinical-stage biopharmaceutical company focused on cancer immunotherapy and drug resistance.,"12,884",,"11,269",https://kairospharma.com,info@kairospharma.com,https://www.linkedin.com/company/kairospharmaltd,,2026-01-12,Post-IPO Equity,75000000,USD,75000000
M7 Health,https://www.crunchbase.com/organization/m7-health,"Health Care, Information Technology, Software",1-10,"Health Care, Scheduling, Software","New York, New York, United States",M7 Health is a scheduling software that provides workforce management solutions for healthcare industries.,"12,886",,"11,271",https://www.m7health.com,info@m7health.com,https://www.linkedin.com/company/m7health,,2025-07-15,Series A,10000000,USD,10000000
Kyron.bio,https://www.crunchbase.com/organization/kyron-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical","Faubourg Saint-jacques, Bourgogne, France",Kyron.bio uses the power of glycan alterations to enable improved protein therapies.,"12,914",,"11,297",https://www.kyron.bio/,hello@kyron.bio,https://www.linkedin.com/company/kyron-bio/,,2025-05-28,Seed,5500000,EUR,6175640
Sportl,https://www.crunchbase.com/organization/sportl,"Apps, Education, Health Care, Software, Sports",1-10,"Apps, Fitness, Training, Wellness","London, England, United Kingdom",Sportl makes it simple for users to find and reserve studio and gym lessons in real time.,"12,928",,"11,309",https://www.sportl.co.uk,support@sportl.co.uk,https://www.linkedin.com/company/sportl-app/,,2026-03-10,Pre-Seed,250000,GBP,336252
HelixNano,https://www.crunchbase.com/organization/helixnano,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biotechnology, Genetics, Health Care","Cambridge, Massachusetts, United States",Helix Nanotechnologies uses artificial intelligence to help cure genetic diseases.,"12,943",,"11,320",http://helixnano.com/,info@helixnano.com,https://www.linkedin.com/company/4992142,,2024-04-04,Series A,,,
Cenote,https://www.crunchbase.com/organization/cenote-c52b,"Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Other, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), B2B, Health Care, Robotics","San Francisco, California, United States",Cenote is a AI software that automates the back office for medical practices by storing patient records.,"12,974",,"11,347",https://www.joincenote.com/,founders@joincenote.com,https://www.linkedin.com/company/cenote-network/,,2025-03-12,Pre-Seed,500000,USD,500000
Trogenix,https://www.crunchbase.com/organization/trogenix,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Life Science, Medical, Therapeutics","Edinburgh, Edinburgh, City of, United Kingdom",Trogenix is a biotech company that develops precision cancer treatments that selectively target diseased cell states and behaviour.,"13,015",,"11,383",https://trogenix.com,contact@trogenix.com,https://www.linkedin.com/company/trogenixbio,,2025-10-06,Series A,70000000,GBP,94388725
TwoStep Therapeutics,https://www.crunchbase.com/organization/twostep-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical","Palo Alto, California, United States",TwoStep Therapeutics is developing novel tumor-targeting therapeutics for solid tumors.,"13,030",,"11,398",https://www.twosteptx.com ,info@twosteptx.com,https://www.linkedin.com/company/twostep-therapeutics/,1-(423) 774-6778,2026-01-20,Series A,21109518,USD,21109518
Telomir Pharmaceuticals,https://www.crunchbase.com/organization/telomir-pharmaceuticals,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Pharmaceutical","Baltimore, Maryland, United States",Telomir Pharmaceuticals develops a novel treatment that binds critical metals to interrupt enzyme function.,"13,062",,"11,428",https://telomirpharma.com/,info@Telomirpharma.com,https://www.linkedin.com/company/telomir-pharmaceuticals-inc,813-864-2562,2025-05-21,Post-IPO Debt,5000000,USD,5000000
UpTrials,https://www.crunchbase.com/organization/uptrials,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Clinical Trials, Human Resources, Software, Staffing Agency","Chicago, Illinois, United States",UpTrials is an AI enabled staffing & operations platform for clinical trial teams.,"13,065",,"11,431",https://www.uptrials.com/,info@uptrials.com,https://www.linkedin.com/company/uptrials/,,2025-04-30,Pre-Seed,,,
Mecha Health,https://www.crunchbase.com/organization/mecha-health,"Health Care, Information Technology",1-10,"Health Care, Information Technology, Medical","San Francisco, California, United States","Mecha Health is a healthtech company that develops digital tools for remote injury assessment, monitoring, and treatment plans.","13,092",,"11,456",https://www.mecha-health.ai/,,https://www.linkedin.com/company/mecha-health/,,2025-11-03,Seed,4100000,USD,4100000
Kinaset Therapeutics,https://www.crunchbase.com/organization/kinaset-therapeutics,Health Care,1-10,"Health Care, Medical, Therapeutics","Boston, Massachusetts, United States",Kinaset Therapeutics is a biopharma company that focuses on advancement of novel drugs in areas of unmet medical needs.,"13,109",,"11,471",https://www.kinasettherapeutics.com,info@kinasettx.com,https://www.linkedin.com/company/kinaset-tx,+1-508-858-5810,2026-01-10,Series B,103000000,USD,103000000
Daisy Genomics,https://www.crunchbase.com/organization/armonica,"Biotechnology, Health Care, Information Technology, Science and Engineering",1-10,"Biotechnology, Information Technology, Medical, Precision Medicine","Carlsbad, California, United States",Daisy Genomics is an medtech focused on developing its proprietary long-read DNA sequencing technology for precision medicine applications.,"13,125",,"11,487",http://armonicatech.com/,info@armonicatech.com,https://www.linkedin.com/company/armonica-technologies-inc/,442-224-3920,2025-12-17,Seed,2500000,USD,2500000
MangoRx,https://www.crunchbase.com/organization/mangorx,"Community and Lifestyle, Health Care",1-10,"Health Care, Men's, Wellness","Dallas, Texas, United States","MangoRx is a men’s digital health, wellness, and performance company.","13,164",,"11,523",https://www.mangorx.com/,,https://www.linkedin.com/company/mangorx/,,2025-12-18,Post-IPO Equity,2500000,USD,2500000
Gesynta Pharma,https://www.crunchbase.com/organization/gesynta-pharma,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Health Care, Pharmaceutical","Stockholm, Stockholms Lan, Sweden","Drug candidates with a unique mechanism of action, aiming to reduce inflammation and pain. Vipoglanstat in phase 2 for endometriosis.","13,172",,"11,529",https://www.gesynta.se/,info@gesynta.se,https://www.linkedin.com/company/gesynta-pharma-ab/,46 (0)733 83 66 70,2025-10-21,Series B,43000000,SEK,4559137
Aptadel Therapeutics,https://www.crunchbase.com/organization/aptadel-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care","Barcelona, Catalonia, Spain",Aptadel Therapeutics is a pre-clinical biomedical company.,"13,248",,"11,599",http://www.aptadeltx.com,,https://www.linkedin.com/company/aptadel-therapeutics/,,2026-03-24,Seed,2000000,EUR,2316466
60 Degrees Pharma,https://www.crunchbase.com/organization/60-degrees-pharmaceuticals,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Pharmaceutical","Washington, District of Columbia, United States",60 Degrees Pharmaceuticals develops and commercializes new medicines to treat and prevent infectious diseases.,"13,280",,"11,630",https://60degreespharma.com,inquiries@60-p.com,https://www.linkedin.com/company/60-degrees-pharmaceuticals-inc,,2025-07-15,Post-IPO Equity,5000000,USD,5000000
Possibility Neurotechnologies,https://www.crunchbase.com/organization/possibility-neurotechnologies,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering, Software",1-10,"Assistive Technology, Human Computer Interaction, Machine Learning, Neuroscience, Software","Calgary, Alberta, Canada",Creating simple and accessible brain-controlled technologies.,"13,312",,"11,658",https://www.possneuro.com,info@possneuro.com,https://www.linkedin.com/company/possibility-neurotechnologies,,2025-06-01,Grant,30000,CAD,21857
Aura Finance,https://www.crunchbase.com/organization/aura-1195,"Administrative Services, Financial Services, Health Care, Lending and Investments",1-10,"Asset Management, Employee Benefits, Finance, Financial Services, FinTech, Trading Platform, Wealth Management, Wellness","San Francisco, California, United States","A financial wellness platform blending psychology with money management, empowering employees to achieve their financial goals.","13,345",,"11,689",https://www.aurafinance.io/,info@aurafinance.io,https://www.linkedin.com/company/aurafinance/,,2024-12-27,Pre-Seed,,,
Ballers,https://www.crunchbase.com/organization/ballers,"Health Care, Sports",1-10,"Fitness, Sports, Wellness","Philadelphia, Pennsylvania, United States",Ballers is a wellness and fitness company.,"13,380",,"11,722",https://www.ballers-philly.com,,https://www.linkedin.com/company/ballers-philly,,2025-06-09,Series A,20000000,USD,20000000
Encellin,https://www.crunchbase.com/organization/encellin,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Health Diagnostics, Medical Device","San Francisco, California, United States",Encellin develops a novel thin-film cell encapsulation device for cell-based therapeutics.,"13,448",,"11,785",http://www.encellin.com,info@encellin.com,https://www.linkedin.com/company-beta/7973731/,,2023-12-13,Series A,9900000,USD,9900000
Datawizz.ai,https://www.crunchbase.com/organization/datawizz,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Finance, Health Care","Berkeley, California, United States",Datawizz.ai is a software development firm offering a cutting edge GenAI data revolution platform.,"13,453",,"11,789",https://datawizz.ai/,datawizz@datawizz.ai,https://www.linkedin.com/company/datawizzai,+972 54-533-3170,2025-09-28,Seed,12500000,USD,12500000
IntraBio,https://www.crunchbase.com/organization/intrabio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Neuroscience, Pharmaceutical","Austin, Texas, United States",IntraBio is a biopharmaceutical company.,"13,459",,"11,794",http://intrabio.com/,,https://www.linkedin.com/company/intrabioltd./,8770 386-7402,2024-03-23,Venture - Series Unknown,40267575,USD,40267575
